filename,transcript,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_mean,chroma_std,contrast_mean,contrast_std,tonnetz_mean,tonnetz_std,zcr_mean,rmse_mean,grammar
audio_1008.wav," The school playground is lively and filled with colorful equipment like swings and slides. Children engage in various games like dodgeball, soccer. It's normally filled with laughter and laughter in the air. It's normally accompanied with sounds of swings, squeaking and balls bouncing. The dynamic environment, we have friendship, our form and memories I meet. It does experiences from school playground and seems you could find on school playground.",-438.01587,137.87389,36.447296,69.35886,3.821594,26.377298,18.46732,31.589945,-2.2132092,17.059267,-6.342358,18.50062,-6.20841,14.519715,-2.3893833,9.4997425,-7.6932783,12.235136,-1.1465358,9.505446,-11.052747,13.333594,-3.3442242,8.601461,-8.887612,10.98734,0.48196033,0.31904382,17.92463314692258,6.469321211705712,-0.0024434184278218,0.1327070954467038,0.1587806815531716,0.022747593,4.0
audio_1017.wav," In the school playground, the mitesand catch a warm glow over the vibrant scene below. Children of all ages fill the space, their layoff and the shorter and green, against the walls of the surrounding buildings. The playground is divided into sections, each blushing with different activities. There, the streets, a group of young children take the stones of pushing each other higher and higher into the sky. There, we can float in the trees, meanwhile on the basketball court, and intense games underway. With students dribbling, passing and shooting with the determination shared on by their classmates lining the side-lights. In a quieted corner, a few students sit in the shade of the large street, and in overboot.",-320.42764,70.83842,123.34535,25.811644,-19.073486,26.396626,23.020292,28.831673,0.40779603,18.624289,-4.344967,22.55521,-4.5094457,17.264265,-3.0281773,13.398233,-6.1908727,13.568348,-7.5011654,13.08524,1.9589206,12.558895,0.2900549,10.369803,0.2589363,9.1310835,0.4397367,0.31763956,17.640193161084802,5.175990210665328,0.0057844096424846,0.087129655230679,0.1010110385882587,0.033986695,4.0
audio_102.wav," At the market, there is a lot of people selling there, there is a lot of stores and there is a lot of people that are selling and customers as well. They are selling fruits, they are selling handmade crafted things which are really interesting especially if you are into art and you also like more authentic things. So what sounds do you really get from the market? It's types of music because you also get a lot of talented people there who are performing and you get to hear music, you get to hear drums, you get to hear all kinds of things and sometimes you also hear some people screaming, some people shouting, some people are also applauding and clipping their hands and you also get to be exposed to different sounds. And with the types of crowd, it's a bit more overwhelming because there's a lot of people, there's a lot of noise but overall it's not.",-317.47037,92.64218,96.71045,71.87279,9.292677,52.59644,30.722073,41.2785,-4.145835,29.657938,-30.519575,25.715971,-8.914343,21.40825,-5.4011645,18.559155,-1.3557719,15.14761,-4.9499097,11.971315,-9.050469,11.20898,1.8540913,10.8309355,-5.460269,9.689158,0.33059773,0.32042223,20.39643018506016,5.743894294802101,-0.0061209885481664,0.1319875276956023,0.1469599162173855,0.0540774,5.0
audio_1024.wav," My favorite place is in Andhra Pradesh. It is in Chetodistic. It is the temple of Lord Ventechwara Swami. It has seven hills to visit the temple. It is a good place to receive the Tirumala. For India here, crowds of people to visit the Lord Ventechwara Swami, in Tirumala, have a lot of places to visit the tourist. In Tirumala, Ladwizha is the famous.",-395.97574,152.25404,83.70689,68.29327,-9.338621,32.15485,22.242302,30.071775,2.223831,15.708841,-4.6401095,15.835111,0.9915089,12.022875,-5.5420604,12.895237,-6.2530794,15.315412,-0.23180607,11.292574,-7.6159215,10.642625,-4.440738,8.68729,-7.586988,9.001675,0.3745079,0.3102694,18.566815765773654,5.416390415302195,0.0061014457251054,0.1276734655949775,0.0946631223375931,0.04144122,1.5
audio_1025.wav," I would like to go the Sachi for the Sachi's Tup is a very famous place in the MP and there a local food will be a good, a very best food like a Pao Aji in the latest it is like a sandwich and a Maima sandwich is the famous food of the Sachi and this is made by a Samrat Ashok they are the powerful emperor of the India he becomes its empire becomes over all the Indian after the India he will be established our empire through defeat the many kings and he after that he made us to call the Sachi's Tup for Buddha's it established in the Sachi and he after that he made us to call the Sachi's Tup for Buddha's it established in the Sachi and he after that he made us to call the Sachi's Tup for Buddha's it established in the Sachi",-316.61896,123.16568,65.66385,53.354553,3.2395918,38.500397,33.875946,41.262375,-13.334555,25.49616,-3.8209093,18.731848,4.3957915,17.66237,-16.391735,18.594526,-4.985112,12.909777,-8.285057,15.522623,-9.492434,11.439361,3.2932525,9.425318,-7.728069,11.946363,0.34740716,0.3225388,20.310790121654907,6.41986875180175,0.0075350918770861,0.1384391250799058,0.1366688470420597,0.05173715,2.0
audio_1028.wav," My favorite place to visit, Karla, it's so beautiful with greenery and board traveling. And there are many famous places like Wainaud, some more like the full of greenery and nature, peaceful mind. There were many foods they prepared with coconut and the duration was so good. And like I like to travel more like Karla's and Himalayas and much more like places to enjoy myself to take my time to myself to around explore by me.",-330.60388,82.345856,80.43314,47.479305,-8.584592,32.67319,4.5224457,22.100885,-9.695792,17.13865,-3.8969774,15.2164545,-11.934242,18.649647,-12.606226,17.370117,-4.863219,12.19159,-8.141374,9.679276,-7.895649,9.457404,-4.149752,8.431007,-1.2894598,8.37098,0.3657069,0.3329276,18.58177249790267,5.762233618607402,0.0016448653213357,0.1620994316469543,0.1753987890208999,0.040161647,2.0
audio_1030.wav," My favorite place is St. Colha Hospital. The genuine archival experience is very good. And that place is where we can never forget that food is those. That place is very delicious. And we also can sit inside me. And also we can eat together in particular time of day or season. When this place is specially magical or beautiful, but night time we will go that place.",-306.64456,57.367603,120.65512,26.771238,-6.372949,15.455059,17.854725,27.601044,-10.723031,17.384508,-9.463614,12.261487,-1.4823884,13.133493,-4.4414344,12.894343,-2.70484,11.137789,-10.364808,11.759841,-7.810784,9.273787,-11.845293,9.359079,-2.820051,8.265135,0.37163073,0.3211413,18.628142225735846,5.111032470213847,-0.0118511406952988,0.1283463554895232,0.0932331186767838,0.04540056,2.0
audio_1031.wav," I would like to visit South Korea because I really love the place to visit once in my life and I would like to travel to Erupe because that would be my first experience. I would like to taste the local dishes in South Korea, kimchi, jjampong, sushi and many other dishes by spicy dishes. I would like to visit the country in autumn season because the flowers or the tree blossoms, cherry blossoms.",-331.6061,73.46141,94.89172,40.668056,13.860718,30.965052,33.591072,28.846395,5.968874,23.159086,12.48451,17.191547,0.71933603,19.292809,1.8527251,15.445885,11.375326,14.243767,7.84123,11.989527,-5.598087,11.577119,-1.3190151,9.798619,0.8888031,9.118999,0.3682685,0.32462806,18.99233573450024,5.840031813038992,-0.0075630955543625,0.1077748948605145,0.1266993643503727,0.03364254,2.5
audio_1032.wav, My favorite place to visit is Shinagar because it was in the top of the North India. My journey could be like this. I am going by train to Jammu after that we are going to have a car by which we eat Shinagar. We are able to see the national beauty of the Jammu and Kashmir which is very excited to see its looks like a heaven. The local food which is famous in that place was Rajmachawal during the road trip and there are mushrooms as well which is special. The favorite season or particular time in which we are able to go to Shinagar was in winters when the snowfall is going to begin because it looks very beautiful in the night.,-287.85052,118.0324,95.29919,63.749146,-20.81727,41.600067,38.008686,36.526012,-16.267508,26.994898,-12.149887,19.571932,-7.013177,18.21417,-17.3433,17.842724,-10.399071,13.655551,-11.892649,15.155894,-8.975114,11.957262,-14.200369,12.127339,-5.3765416,12.4043045,0.32347685,0.31335464,20.98789363592912,5.916125939069055,-0.0152042164658844,0.152265632469519,0.1352068461295261,0.058869414,3.0
audio_1036.wav," My favorite place to visit is La Basna, that is Laal Bhakhadur Saskin, Nishda Lakadmiya for the institution, which is situated in Musari. This is my favorite place because the civil servants who cleared UPSC may be attending the La Basna. This is the place where civil servants, which is the aspirants who cleared IAS, they will be training in that academy. That is the favorite place not only for me for the candidates who practice civil services and it is situated in Musari and it is the best place for the IAS offices. Moreover, the best season to visit Musari is summer season, winter season because the bus is located near to Himalayas where it is covered with snow. It is having a plenty of...",-289.5748,87.75308,67.201454,34.132046,-2.8617828,33.188324,-1.0060011,26.863012,-21.17475,26.055305,-23.535173,22.355885,-16.225683,17.066687,-3.7169135,17.657043,-4.27341,14.057752,-3.1102662,13.171991,-6.3419538,12.153759,-0.9693938,11.07861,-6.951269,12.053845,0.28754327,0.31588614,19.91553492975264,5.871518233279306,0.0057162700918931,0.1167848838673815,0.1733141036841054,0.046522174,2.5
